order_item_id,order_id,item_id,quantity,item_price
1,1,510,2,333
2,1,496,3,379
3,1,504,1,131
4,2,44,2,317
5,3,523,2,273
6,3,524,2,294
7,4,448,1,296
8,4,447,1,476
9,5,57,2,239
10,5,60,3,202
11,5,48,1,303
12,6,747,2,89
13,6,749,1,211
14,7,603,3,434
15,8,245,1,267
16,9,358,3,417
17,9,359,3,164
18,9,353,1,98
19,10,549,2,226
20,10,555,1,451
21,11,417,1,483
22,11,407,3,397
23,11,409,2,373
24,12,611,1,127
25,12,610,1,152
26,12,612,2,322
27,13,338,3,430
28,13,332,2,347
29,14,669,3,498
30,14,663,1,414
31,15,112,2,168
32,15,107,2,419
33,16,497,1,354
34,16,507,3,182
35,16,502,1,307
36,17,554,1,122
37,18,565,1,138
38,19,675,2,377
39,19,672,3,460
40,19,663,1,414
41,20,570,3,170
42,20,569,1,155
43,20,568,3,382
44,21,557,1,495
45,21,564,3,85
46,22,594,2,336
47,22,586,1,453
48,23,71,3,398
49,23,66,1,398
50,24,701,3,428
51,24,692,2,450
52,25,255,3,416
53,25,249,1,134
54,26,305,3,145
55,27,85,1,167
56,27,89,1,423
57,27,90,1,200
58,28,235,3,451
59,29,325,1,437
60,29,320,1,220
61,29,327,3,300
62,30,515,3,346
63,30,519,3,432
64,31,585,2,127
65,31,571,1,309
66,32,52,3,430
67,32,47,3,87
68,33,550,3,400
69,34,33,2,433
70,35,174,1,422
71,35,180,3,340
72,36,267,1,245
73,36,256,3,343
74,36,266,3,91
75,37,723,3,370
76,37,735,2,277
77,38,187,3,483
78,38,188,3,462
79,39,540,3,459
80,39,538,3,379
81,39,530,2,135
82,40,553,2,431
83,40,555,2,451
84,40,552,3,388
85,41,37,1,369
86,41,45,2,236
87,41,32,1,100
88,42,703,3,270
89,43,75,3,167
90,44,739,3,443
91,44,746,3,160
92,45,366,3,496
93,45,372,3,437
94,46,578,1,226
95,47,447,2,476
96,48,324,3,341
97,48,323,3,221
98,48,316,3,267
99,49,365,3,356
100,49,364,3,262
101,49,362,1,352
102,50,692,3,450
103,51,705,1,349
104,52,200,1,479
105,53,673,1,333
106,53,668,3,395
107,53,671,3,169
108,54,683,1,378
109,55,372,2,437
110,55,363,3,253
111,56,650,2,434
112,56,651,3,174
113,56,646,3,139
114,57,88,1,323
115,57,78,3,310
116,57,81,3,414
117,58,36,2,142
118,59,237,1,457
119,60,157,2,268
120,60,153,3,171
121,60,160,3,397
122,61,230,3,368
123,61,228,3,477
124,62,386,2,435
125,62,383,2,288
126,63,330,3,429
127,63,321,3,290
128,64,451,1,460
129,65,293,2,397
130,66,217,2,496
131,66,214,2,139
132,66,219,1,229
133,67,115,2,120
134,67,114,2,274
135,67,108,1,120
136,68,628,2,371
137,69,555,2,451
138,70,465,2,92
139,70,460,3,290
140,71,423,2,490
141,71,421,1,172
142,71,431,2,354
143,72,463,1,446
144,73,496,3,379
145,74,49,1,347
146,75,201,2,254
147,75,210,2,387
148,75,203,2,319
149,76,51,1,212
150,76,55,2,100
151,76,50,3,226
152,77,179,2,129
153,77,166,3,498
154,77,173,1,444
155,78,251,3,474
156,79,257,3,434
157,79,267,3,245
158,79,258,2,276
159,80,294,1,452
160,80,299,3,261
161,80,286,1,81
162,81,453,3,153
163,81,454,3,190
164,82,431,1,354
165,83,547,2,396
166,84,290,3,115
167,84,298,2,258
168,84,288,2,177
169,85,691,3,169
170,85,698,1,201
171,85,694,1,328
172,86,346,3,178
173,86,359,1,164
174,86,354,3,283
175,87,530,1,135
176,88,695,1,259
177,88,693,1,367
178,89,369,1,95
179,89,368,1,243
180,90,184,1,495
181,90,187,1,483
182,90,193,3,202
183,91,748,1,497
184,91,744,3,337
185,91,745,2,381
186,92,515,2,346
187,92,514,1,495
188,93,711,2,94
189,93,716,2,181
190,94,706,1,356
191,94,719,1,394
192,94,713,2,145
193,95,581,1,104
194,96,96,1,354
195,97,226,1,205
