order_id,customer_id,restaurant_id,order_timestamp,delivery_timestamp,total_amount,delivery_rider_id,payment_method,order_status
1,1233,34,2023-10-17 12:00:00,2023-10-17 12:21:00,655,61,UPI,delivered
2,1277,3,2023-01-08 14:00:00,2023-01-08 14:40:00,864,116,Card,delivered
3,551,35,2023-03-07 05:00:00,2023-03-07 05:24:00,1095,142,UPI,delivered
4,1157,30,2023-07-26 01:00:00,2023-07-26 01:36:00,863,198,Card,delivered
5,1477,4,2023-12-18 22:00:00,2023-12-18 22:56:00,1045,185,UPI,delivered
6,1236,50,2023-02-02 15:00:00,2023-02-02 15:52:00,277,67,UPI,delivered
7,1269,41,2023-12-25 01:00:00,2023-12-25 01:50:00,657,155,UPI,delivered
8,525,17,2023-11-29 06:00:00,2023-11-29 07:03:00,349,199,Card,delivered
9,482,24,2023-05-23 22:00:00,2023-05-23 22:51:00,299,191,UPI,delivered
10,1857,37,2023-07-19 19:00:00,2023-07-19 19:59:00,909,1,UPI,delivered
11,1878,28,2023-08-20 18:00:00,2023-08-20 19:00:00,429,52,Card,delivered
12,1263,41,2023-05-05 21:00:00,2023-05-05 22:07:00,266,31,UPI,delivered
13,262,23,2023-08-17 00:00:00,2023-08-17 00:28:00,888,196,UPI,delivered
14,517,45,2023-12-05 23:00:00,2023-12-06 00:02:00,167,89,UPI,delivered
15,1734,8,2023-11-16 02:00:00,2023-11-16 02:20:00,904,87,Card,delivered
16,1415,34,2023-03-07 15:00:00,2023-03-07 15:26:00,992,14,Card,delivered
17,1601,37,2023-02-23 08:00:00,2023-02-23 09:01:00,289,153,UPI,delivered
18,1800,38,2023-08-18 19:00:00,2023-08-18 19:29:00,739,190,UPI,delivered
19,566,45,2023-08-19 02:00:00,2023-08-19 02:41:00,1041,156,Card,delivered
20,204,38,2023-11-01 13:00:00,2023-11-01 13:59:00,871,97,Card,delivered
21,1723,38,2023-03-31 07:00:00,2023-03-31 07:57:00,1128,178,UPI,delivered
22,648,40,2023-12-27 23:00:00,2023-12-28 00:06:00,1024,61,UPI,delivered
23,1120,5,2023-05-27 07:00:00,2023-05-27 07:25:00,213,166,UPI,delivered
24,607,47,2023-11-10 06:00:00,2023-11-10 06:45:00,545,102,UPI,delivered
25,849,17,2023-03-26 16:00:00,2023-03-26 16:22:00,728,180,UPI,delivered
26,1969,21,2023-08-28 13:00:00,2023-08-28 13:54:00,386,73,Card,delivered
27,1010,6,2023-02-28 04:00:00,2023-02-28 04:32:00,726,21,Card,delivered
28,265,16,2023-07-31 20:00:00,2023-07-31 20:35:00,448,103,Cash,delivered
29,1344,22,2023-03-16 16:00:00,2023-03-16 16:52:00,233,75,UPI,delivered
30,701,35,2023-07-28 01:00:00,2023-07-28 01:34:00,444,172,Cash,delivered
31,1382,39,2023-07-08 14:00:00,2023-07-08 14:48:00,331,159,Card,delivered
32,970,4,2023-10-12 21:00:00,2023-10-12 21:41:00,910,74,Card,delivered
33,1823,37,2023-06-30 12:00:00,2023-06-30 13:01:00,551,60,UPI,delivered
34,1754,3,2023-08-31 11:00:00,2023-08-31 11:26:00,854,134,Cash,failed
35,1148,12,2023-05-30 12:00:00,2023-05-30 12:35:00,1054,1,UPI,delivered
36,1125,18,2023-04-02 20:00:00,2023-04-02 20:20:00,217,157,Card,delivered
37,682,49,2023-11-01 01:00:00,2023-11-01 02:09:00,947,55,UPI,delivered
38,1082,13,2023-08-01 11:00:00,2023-08-01 11:23:00,1064,79,UPI,delivered
39,1041,36,2023-08-04 10:00:00,2023-08-04 11:02:00,579,105,UPI,delivered
40,1212,37,2023-03-31 17:00:00,2023-03-31 18:02:00,343,98,Cash,delivered
41,1190,3,2023-07-20 17:00:00,2023-07-20 18:05:00,670,171,Card,delivered
42,1612,47,2023-02-09 03:00:00,2023-02-09 03:49:00,347,199,UPI,delivered
43,1621,5,2023-02-05 13:00:00,2023-02-05 13:38:00,341,161,UPI,delivered
44,1612,50,2023-12-13 15:00:00,2023-12-13 16:04:00,150,130,UPI,delivered
45,1694,25,2023-10-13 04:00:00,2023-10-13 04:57:00,1088,53,Card,delivered
46,222,39,2023-03-25 09:00:00,2023-03-25 10:08:00,1153,178,UPI,delivered
47,291,30,2023-10-25 04:00:00,2023-10-25 05:04:00,642,128,UPI,delivered
48,554,22,2023-08-01 15:00:00,2023-08-01 15:30:00,412,192,Card,delivered
49,1620,25,2023-07-16 14:00:00,2023-07-16 14:43:00,908,122,UPI,cancelled
50,1110,47,2023-05-06 14:00:00,2023-05-06 15:07:00,494,176,Cash,delivered
51,1278,47,2023-08-22 00:00:00,2023-08-22 00:36:00,361,46,Card,delivered
52,1374,14,2023-05-03 11:00:00,2023-05-03 12:06:00,587,126,UPI,delivered
53,901,45,2023-03-27 11:00:00,2023-03-27 11:27:00,793,131,Card,delivered
54,108,46,2023-07-21 16:00:00,2023-07-21 16:43:00,475,2,Card,delivered
55,838,25,2023-10-11 16:00:00,2023-10-11 16:52:00,341,113,Cash,delivered
56,1681,44,2023-10-13 03:00:00,2023-10-13 03:23:00,248,192,Cash,delivered
57,1385,6,2023-11-13 03:00:00,2023-11-13 03:22:00,745,143,UPI,delivered
58,402,3,2023-04-05 22:00:00,2023-04-05 22:33:00,764,135,UPI,delivered
59,1674,16,2023-07-14 04:00:00,2023-07-14 04:41:00,437,76,Card,delivered
60,596,11,2023-03-24 09:00:00,2023-03-24 09:42:00,652,28,UPI,delivered
61,258,16,2023-10-01 17:00:00,2023-10-01 17:48:00,901,110,UPI,delivered
62,46,26,2023-06-20 12:00:00,2023-06-20 12:36:00,392,182,Cash,delivered
63,320,22,2023-12-11 21:00:00,2023-12-11 21:36:00,529,171,Cash,delivered
64,1689,31,2023-10-02 01:00:00,2023-10-02 01:38:00,905,148,UPI,failed
65,541,20,2023-06-10 07:00:00,2023-06-10 08:04:00,613,113,Cash,delivered
66,793,15,2023-03-27 23:00:00,2023-03-27 23:21:00,703,98,UPI,delivered
67,1215,8,2023-02-09 10:00:00,2023-02-09 10:31:00,895,63,UPI,delivered
68,802,42,2023-01-28 18:00:00,2023-01-28 18:36:00,436,50,UPI,delivered
