item_id,restaurant_id,item_name,price,category
687,46,Cupiditate Repellendus,499,Beverage
154,11,Non Minus,498,Main Course
340,23,Corrupti Ad,498,Dessert
166,12,Laudantium Veritatis,498,Dessert
669,45,Unde Repudiandae,498,Beverage
748,50,Aliquid Repellat,497,Dessert
130,9,Optio Vel,497,Main Course
366,25,Facilis Quasi,496,Snacks
217,15,Laboriosam Magni,496,Main Course
184,13,Quos Neque,495,Beverage
557,38,Autem Ullam,495,Dessert
461,31,Assumenda Repellendus,495,Dessert
514,35,A Nostrum,495,Beverage
46,4,Itaque Itaque,494,Snacks
128,9,Odit Exercitationem,494,Snacks
